question_id,n_correct_of_12,difficulty_overall,n_correct_of_4_openrouter_A,n_correct_of_4_openrouter_B,n_correct_of_4_tailscale_A,difficulty_openrouter_A,difficulty_openrouter_B,difficulty_tailscale_A
n173,9,0.75,3,3,3,0.75,0.75,0.75
n174,9,0.75,3,3,3,0.75,0.75,0.75
n175,11,0.9166666666666666,4,3,4,1.0,0.75,1.0
n176,4,0.3333333333333333,2,0,2,0.5,0.0,0.5
n177,9,0.75,3,3,3,0.75,0.75,0.75
n178,11,0.9166666666666666,4,3,4,1.0,0.75,1.0
n179,7,0.5833333333333334,3,1,3,0.75,0.25,0.75
n180,9,0.75,4,1,4,1.0,0.25,1.0
n181,9,0.75,3,2,4,0.75,0.5,1.0
n182,11,0.9166666666666666,3,4,4,0.75,1.0,1.0
r001,9,0.75,3,3,3,0.75,0.75,0.75
r002,11,0.9166666666666666,4,3,4,1.0,0.75,1.0
r003,12,1.0,4,4,4,1.0,1.0,1.0
r004,12,1.0,4,4,4,1.0,1.0,1.0
r005,11,0.9166666666666666,4,3,4,1.0,0.75,1.0
r006,12,1.0,4,4,4,1.0,1.0,1.0
r007,11,0.9166666666666666,4,3,4,1.0,0.75,1.0
r008,11,0.9166666666666666,4,3,4,1.0,0.75,1.0
r009,11,0.9166666666666666,4,3,4,1.0,0.75,1.0
r010,9,0.75,4,1,4,1.0,0.25,1.0
r011,10,0.8333333333333334,4,2,4,1.0,0.5,1.0
r012,7,0.5833333333333334,2,2,3,0.5,0.5,0.75
r013,8,0.6666666666666666,3,2,3,0.75,0.5,0.75
r014,12,1.0,4,4,4,1.0,1.0,1.0
r015,11,0.9166666666666666,4,3,4,1.0,0.75,1.0
r016,12,1.0,4,4,4,1.0,1.0,1.0
r017,10,0.8333333333333334,3,4,3,0.75,1.0,0.75
r018,9,0.75,3,2,4,0.75,0.5,1.0
r019,11,0.9166666666666666,4,3,4,1.0,0.75,1.0
r020,12,1.0,4,4,4,1.0,1.0,1.0
r021,10,0.8333333333333334,4,2,4,1.0,0.5,1.0
r022,12,1.0,4,4,4,1.0,1.0,1.0
